2025-07-29T14:39:50.139309082 | SYSTEM | Application shutting down
2025-07-29T14:39:50.146749806 | SYSTEM | Backup created: backups/tourism_backup_20250729_143950.zip
2025-07-29T14:40:04.179560311 | SYSTEM | Application started successfully
2025-07-29T14:40:22.126573819 | admin | Session started
2025-07-29T14:40:22.126760532 | admin | User authenticated successfully
2025-07-29T14:40:22.126917126 | admin | Login successful
2025-07-29T14:40:22.241504864 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T14:45:44.880169688 | admin | Session ended
2025-07-29T14:45:44.88442773 | admin | User logged out from dashboard
2025-07-29T14:45:44.99089515 | SYSTEM | Scene switched to: /fxml/login.fxml
2025-07-29T14:47:01.164434138 | SYSTEM | Application shutting down
2025-07-29T14:47:01.217185533 | SYSTEM | Backup created: backups/tourism_backup_20250729_144701.zip
2025-07-29T14:50:06.83435227 | SYSTEM | Application started successfully
2025-07-29T14:50:13.568483359 | admin | Session started
2025-07-29T14:50:13.568647079 | admin | User authenticated successfully
2025-07-29T14:50:13.568728731 | admin | Login successful
2025-07-29T14:50:13.669715557 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T14:50:46.544595407 | SYSTEM | Scene switched to: /fxml/booking-management-view.fxml
2025-07-29T14:50:46.544917706 | admin | Navigated to Booking Management
2025-07-29T14:50:49.981672551 | SYSTEM | Application shutting down
2025-07-29T14:50:49.997642548 | SYSTEM | Backup created: backups/tourism_backup_20250729_145049.zip
2025-07-29T15:05:24.123317526 | SYSTEM | Application started successfully
2025-07-29T15:05:38.74375547 | admin | Session started
2025-07-29T15:05:38.743937331 | admin | User authenticated successfully
2025-07-29T15:05:38.744052375 | admin | Login successful
2025-07-29T15:05:38.83937952 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T15:05:53.68461719 | SYSTEM | Scene switched to: /fxml/booking-management-view.fxml
2025-07-29T15:05:53.684939627 | admin | Navigated to Booking Management
2025-07-29T15:06:02.62531725 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T15:06:02.625576078 | admin | Navigated back to Dashboard from Booking Management
2025-07-29T15:06:11.397506358 | SYSTEM | Scene switched to: /fxml/tourist-management-view.fxml
2025-07-29T15:06:11.397740111 | admin | Navigated to Tourist Management
2025-07-29T15:06:16.731905749 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T15:06:16.732119032 | admin | Navigated back to Dashboard from Tourist Management
2025-07-29T15:06:18.481937094 | SYSTEM | Scene switched to: /fxml/festival-offers-management-view.fxml
2025-07-29T15:06:18.482129781 | admin | Navigated to Festival Offers Management
2025-07-29T15:06:20.704258846 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T15:06:20.70456975 | admin | Navigated back to Dashboard from Festival Offers Management
2025-07-29T15:06:21.821879955 | SYSTEM | Scene switched to: /fxml/guide-management-view.fxml
2025-07-29T15:06:21.822081066 | admin | Navigated to Guide Management
2025-07-29T15:06:23.437218138 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T15:06:23.437434507 | admin | Navigated back to Dashboard from Guide Management
2025-07-29T15:06:32.715742765 | SYSTEM | Scene switched to: /fxml/festival-offers-management-view.fxml
2025-07-29T15:06:32.715927345 | admin | Navigated to Festival Offers Management
2025-07-29T15:06:34.171673504 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T15:06:34.171837187 | admin | Navigated back to Dashboard from Festival Offers Management
2025-07-29T15:06:35.610823903 | SYSTEM | Scene switched to: /fxml/tourist-management-view.fxml
2025-07-29T15:06:35.611040516 | admin | Navigated to Tourist Management
2025-07-29T15:06:37.421357902 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T15:06:37.421584123 | admin | Navigated back to Dashboard from Tourist Management
2025-07-29T15:07:05.867893107 | admin | Session ended
2025-07-29T15:07:05.868112999 | admin | User logged out from dashboard
2025-07-29T15:07:05.919812065 | SYSTEM | Scene switched to: /fxml/login.fxml
2025-07-29T15:07:17.602764013 | SYSTEM | Application exit requested from login
